s;w
1;315
2;216
3;204
4;204
5;198
6;201
7;224
8;237
9;215
10;215
11;243
12;27
13;0
14;0
15;0
16;0
17;142
18;175
19;167
20;176
21;177
22;191
23;204
24;206
25;211
26;211
27;259
28;221
29;221
30;233
31;193
32;257
33;240
34;240
35;251
36;251
37;202
38;213
39;253
40;431
41;239
42;266
43;74
44;74
45;99
46;176
47;257
48;189
49;118
50;60
51;60
52;62
53;261
54;281
55;247
56;238
57;177
58;126
59;148
60;114
61;150
62;124
63;0
64;0
65;0
66;215
67;254
68;254
69;0
70;0
71;0
72;0
73;0
74;25
75;231
76;260
77;216
78;233
79;213
80;198
81;202
82;341
83;444
84;454
85;287
86;319
87;376
88;330
89;470
90;230
91;299
92;139
93;139
94;122
95;119
96;211
97;224
98;266
99;228
100;228
101;299
102;329
103;303
104;249
105;245
106;345
107;364
108;233
109;246
110;119
111;111
112;182
113;182
114;255
115;141
116;192
117;206
118;317
119;459
120;262
121;303
122;140
123;85
124;151
125;237
126;340
127;367
128;287
129;283
130;283
131;270
132;260
133;489
134;471
135;199
136;216
137;216
138;60
139;49
140;49
141;288
142;163
143;226
144;84
145;84
146;0
147;0
148;0
149;0
150;0
151;0
152;53
153;104
154;138
155;194
156;196
157;203
158;223
159;238
160;292
161;292
162;315
163;315
164;291
165;278
166;215
167;243
168;204
169;189
170;185
171;185
172;168
173;140
174;143
175;140
176;104
177;138
178;208
179;229
180;247
181;247
182;255
183;236
184;252
185;230
186;263
187;208
188;226
189;218
190;250
191;230
192;241
193;222
194;222
195;261
196;321
197;234
198;279
199;180
200;144
201;134
202;113
203;93
204;173
205;148
206;168
207;173
208;161
209;201
210;243
211;208
212;174
213;242
214;181
215;166
216;181
217;289
218;296
219;296
220;265
221;266
222;319
223;302
224;263
225;299
226;289
227;262
228;297
229;287
230;277
231;279
232;299
233;277
234;183
235;186
236;146
237;57
238;37
239;38
240;0
241;0
242;0
243;0
244;42
245;85
246;84
247;113
248;142
249;158
250;207
251;167
252;119
253;181
254;341
255;341
256;280
257;375
258;380
259;334
260;329
261;346
262;356
263;314
264;386
265;350
266;289
267;242
268;242
269;127
270;0
271;0
272;0
273;0
274;0
275;0
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;0
298;0
299;0
300;0
301;0
302;0
303;0
304;0
305;0
306;0
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;18
330;312
331;328
332;418
333;373
334;310
335;215
336;168
337;193
338;235
339;225
340;211
341;245
342;245
343;201
344;226
345;349
346;236
347;339
348;307
349;368
350;328
351;242
352;190
353;96
354;117
355;170
356;196
357;187
358;269
359;263
360;213
361;213
362;372
363;210
364;210
365;94
366;0
367;0
368;0
369;293
370;246
371;212
372;89
373;128
374;168
375;166
376;208
377;205
378;283
379;254
380;215
381;276
382;284
383;216
384;216
385;212
386;225
387;216
388;224
389;221
390;241
391;252
392;295
393;295
394;238
395;274
396;294
397;257
398;286
399;229
400;187
401;0
402;0
403;0
404;21
405;276
406;259
407;172
408;62
409;126
410;79
411;131
412;138
413;173
414;181
415;145
416;110
417;106
418;182
419;267
420;164
421;110
422;78
423;148
424;166
425;117
426;119
427;101
428;139
429;173
430;129
431;139
432;155
433;191
434;245
435;243
436;200
437;213
438;202
439;254
440;211
441;154
442;154
443;258
444;132
445;0
446;206
447;232
448;161
449;161
450;105
451;152
452;125
453;150
454;158
455;212
456;377
457;275
458;309
459;178
460;185
461;223
462;204
463;257
464;183
465;202
466;213
467;217
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;150
482;187
483;191
484;158
485;214
486;397
487;225
488;0
489;0
490;0
491;0
492;254
493;335
494;335
495;295
496;254
497;216
498;177
499;152
500;120
501;148
502;305
503;324
504;262
505;238
506;21
507;21
508;21
509;48
510;0
511;0
512;0
513;0
514;0
515;0
516;178
517;262
518;257
519;237
520;240
521;203
522;187
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;0
531;0
532;0
533;0
534;186
535;211
536;168
537;89
538;63
539;0
540;0
541;0
542;0
543;63
544;139
545;139
546;180
547;168
548;168
549;260
550;370
551;415
552;469
553;469
554;279
555;515
556;443
557;385
558;392
559;402
560;364
561;310
562;333
563;319
564;241
565;289
566;255
567;152
568;105
569;82
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;47
579;218
580;237
581;195
582;128
583;117
584;76
585;56
586;75
587;95
588;100
589;124
590;181
591;257
592;273
593;328
594;278
595;309
596;269
597;189
598;101
599;101
600;108
601;135
602;73
603;127
604;168
605;173
606;149
607;137
608;111
609;87
610;47
611;70
612;88
613;103
614;149
615;167
616;223
617;250
618;324
619;334
620;283
621;267
622;291
623;249
624;227
625;209
626;148
627;149
628;231
629;167
630;245
631;216
632;173
633;163
634;102
635;102
636;132
637;128
638;108
639;107
640;129
641;163
642;366
643;298
644;253
645;253
646;230
647;221
648;248
649;212
650;178
651;191
652;221
653;234
654;211
655;200
656;283
657;286
658;248
659;360
660;228
661;259
662;215
663;290
664;231
665;214
666;300
667;237
668;206
669;168
670;149
671;147
672;150
673;212
674;256
675;249
676;296
677;230
678;325
679;197
680;197
681;161
682;0
683;0
684;0
685;9
686;119
687;0
688;0
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;37
699;182
700;265
701;257
702;187
703;191
704;149
705;101
706;100
707;79
708;173
709;153
710;203
711;245
712;292
713;274
714;291
715;291
716;299
717;231
718;304
719;201
720;169
721;95
722;106
723;144
724;120
725;163
726;214
727;235
728;235
729;208
730;190
731;199
732;167
733;166
734;185
735;212
736;243
737;330
738;341
739;309
740;240
741;198
742;163
743;197
744;128
745;125
746;160
747;190
748;250
749;329
750;344
751;412
752;314
753;219
754;222
755;263
756;274
757;258
758;257
759;275
760;283
761;321
762;375
763;307
764;210
765;210
766;0
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;100
782;259
783;267
784;324
785;264
786;173
787;200
788;0
789;0
790;0
791;0
792;0
793;3
794;292
795;292
796;242
797;200
798;172
799;167
800;186
801;167
802;154
803;0
804;0
805;0
806;0
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;0
817;0
818;0
819;0
820;0
821;0
822;0
823;0
824;0
825;0
826;0
827;0
828;0
829;0
830;0
831;0
832;0
833;0
834;0
835;0
836;0
837;0
838;0
839;0
840;167
841;138
842;0
843;0
844;0
845;0
846;0
847;0
848;0
849;0
850;0
851;0
852;0
853;0
854;0
855;0
856;0
857;0
858;0
859;0
860;0
861;0
862;0
863;0
864;64
865;24
866;0
867;0
868;0
869;158
870;200
871;200
872;188
873;161
874;149
875;165
876;176
877;169
878;137
879;279
880;279
881;201
882;213
883;255
884;255
885;229
886;210
887;220
888;220
889;226
890;291
891;239
892;282
893;254
894;306
895;306
896;242
897;224
898;224
899;193
900;180
901;212
902;251
903;195
904;221
905;223
906;192
907;198
908;222
909;253
910;290
911;243
912;239
913;239
914;293
915;203
916;200
917;217
918;217
919;240
920;196
921;225
922;275
923;275
924;261
925;256
926;260
927;259
928;269
929;258
930;258
931;374
932;361
933;384
934;327
935;327
936;124
937;124
938;434
939;421
940;386
941;323
942;323
943;404
944;344
945;346
946;387
947;387
948;341
949;341
950;427
951;330
952;0
953;0
954;0
955;0
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;0
969;0
970;0
971;0
972;0
973;0
974;0
975;0
976;0
977;0
978;0
979;0
980;0
981;0
982;0
983;0
984;0
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;58
996;134
997;32
998;0
999;0
1000;0
1001;0
1002;120
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;0
1013;0
1014;0
1015;0
1016;179
1017;213
1018;214
1019;0
1020;0
1021;0
1022;0
1023;0
1024;0
1025;0
1026;0
1027;0
1028;0
