s;w
1;212
2;137
3;216
4;212
5;155
6;222
7;215
8;206
9;202
10;203
11;203
12;203
13;201
14;193
15;193
16;195
17;211
18;206
19;182
20;182
21;209
22;210
23;207
24;193
25;201
26;216
27;182
28;196
29;194
30;222
31;208
32;204
33;229
34;210
35;192
36;184
37;184
38;152
39;187
40;211
41;218
42;201
43;208
44;202
45;206
46;206
47;179
48;172
49;190
50;192
51;220
52;191
53;164
54;170
55;186
56;203
57;168
58;187
59;192
60;181
61;172
62;190
63;185
64;190
65;215
66;215
67;171
68;181
69;150
70;184
71;224
72;226
73;187
74;181
75;198
76;152
77;138
78;155
79;215
80;209
81;209
82;187
83;185
84;192
85;192
86;218
87;219
88;198
89;177
90;184
91;203
92;207
93;223
94;201
95;209
96;212
97;210
98;200
99;215
100;205
101;220
102;228
103;211
104;178
105;176
106;239
107;167
108;202
109;222
110;170
111;169
112;215
113;239
114;224
115;215
116;188
117;207
118;195
119;199
120;215
121;224
122;214
123;199
124;199
125;204
126;224
127;183
128;219
129;186
130;206
131;221
132;203
133;241
134;221
135;224
136;232
137;242
138;246
139;239
140;196
141;145
142;204
143;209
144;221
145;228
146;188
147;189
148;189
149;215
150;200
151;206
152;195
153;185
154;205
155;170
156;170
157;195
158;184
159;203
160;202
161;184
162;203
163;203
164;178
165;154
166;180
167;176
168;188
169;140
170;165
171;179
172;124
173;127
174;189
175;205
176;203
177;178
178;178
179;187
180;208
181;184
182;169
183;198
184;170
185;170
186;185
187;207
188;167
189;174
190;153
191;134
192;134
193;202
194;179
195;174
196;162
197;202
198;202
199;195
200;195
201;192
202;198
203;166
204;185
205;193
206;201
207;195
208;195
209;161
210;166
211;168
212;150
213;185
214;185
215;210
216;160
217;179
218;194
219;189
220;171
221;171
222;171
223;197
224;195
225;185
226;225
227;185
228;188
229;187
230;193
231;174
232;187
233;167
234;175
235;190
236;191
237;187
238;187
239;155
240;176
241;154
242;179
243;183
244;175
245;176
246;181
247;157
248;122
249;172
250;179
251;175
252;165
253;185
254;170
255;179
256;176
257;160
258;156
259;172
260;174
261;161
262;155
263;175
264;182
265;197
266;174
267;190
268;132
269;183
270;189
271;178
272;194
273;184
274;182
275;182
276;167
277;159
278;180
279;197
280;201
281;215
282;203
283;191
284;189
285;198
286;224
287;186
288;163
289;179
290;166
291;169
292;172
293;208
294;231
295;241
296;208
297;155
298;201
299;172
300;184
301;205
302;196
303;201
304;207
305;192
306;191
307;218
308;205
309;191
310;190
311;197
312;201
313;206
314;205
315;207
316;207
317;191
318;201
319;209
320;203
321;194
322;191
323;197
324;178
325;197
326;178
327;178
328;173
329;161
330;161
331;191
332;147
333;183
334;184
335;186
336;188
337;190
338;178
339;172
340;175
341;172
342;161
343;187
344;157
345;176
346;149
347;162
348;156
349;186
350;175
351;184
352;182
353;195
354;192
355;161
356;177
357;177
358;172
359;125
360;73
361;135
362;135
363;166
364;188
365;200
366;185
367;176
368;208
369;185
370;191
371;203
372;190
373;199
374;218
375;218
376;211
377;219
378;227
379;230
380;219
381;232
382;229
383;220
384;212
385;205
386;215
387;222
388;236
389;231
390;213
391;224
392;224
393;223
394;225
395;231
396;231
397;219
398;222
399;266
400;272
401;219
402;182
403;206
404;199
405;208
406;190
407;207
408;197
409;200
410;185
411;185
412;234
413;212
414;197
415;190
416;190
417;194
418;195
419;191
420;202
421;195
422;177
423;191
424;187
425;194
426;196
427;177
428;178
429;185
430;185
431;187
432;195
433;198
434;215
435;203
436;209
437;207
438;207
439;205
440;203
441;212
442;202
443;201
444;209
445;204
446;205
447;205
448;210
449;222
450;216
451;215
452;217
453;214
454;214
455;201
456;210
457;202
458;208
459;196
460;198
461;198
462;197
463;208
464;211
465;209
466;206
467;205
468;199
469;213
470;246
471;223
472;199
473;190
474;194
475;203
476;201
477;206
478;211
479;209
480;192
481;192
482;217
483;217
484;202
485;171
486;227
487;215
488;211
489;164
490;164
491;191
492;232
493;226
494;229
495;201
496;205
497;225
498;228
499;184
500;205
501;238
502;252
503;190
504;190
505;196
506;202
507;212
508;211
509;185
510;166
511;178
512;199
513;220
514;180
515;133
516;133
517;146
518;139
519;201
520;201
521;219
522;219
523;174
524;178
525;178
526;168
527;168
528;184
529;184
530;155
531;180
532;178
