s;w
1;150
2;151
3;125
4;160
5;204
6;148
7;155
8;161
9;178
10;126
11;123
12;177
13;138
14;149
15;104
16;95
17;143
18;158
19;133
20;133
21;131
22;77
23;0
24;0
25;0
26;0
27;6
28;162
29;162
30;153
31;290
32;218
33;180
34;225
35;140
36;134
37;185
38;106
39;126
40;136
41;167
42;119
43;133
44;124
45;177
46;120
47;172
48;192
49;194
50;113
51;188
52;86
53;80
54;96
55;129
56;147
57;100
58;129
59;88
60;146
61;102
62;123
63;148
64;68
65;119
66;141
67;132
68;113
69;165
70;114
71;86
72;142
73;91
74;101
75;92
76;104
77;122
78;106
79;106
80;130
81;116
82;131
83;129
84;138
85;126
86;119
87;126
88;69
89;109
90;120
91;106
92;106
93;82
94;89
95;138
96;123
97;137
98;140
99;120
100;195
101;134
102;172
103;130
104;114
105;125
106;121
107;121
108;168
109;134
110;186
111;130
112;103
113;152
114;99
115;175
116;175
117;135
118;158
119;158
120;235
121;207
122;207
123;180
124;135
125;135
126;129
127;134
128;139
129;152
130;138
131;146
132;146
133;144
134;127
135;143
136;109
137;168
138;152
139;124
140;182
141;144
142;176
143;132
144;122
145;136
146;161
147;129
148;154
149;128
150;133
151;153
152;123
153;128
154;121
155;122
156;120
157;100
158;105
159;147
160;139
161;110
162;84
163;87
164;110
165;115
166;97
167;168
168;104
169;117
170;146
171;107
172;147
173;150
174;98
175;176
176;129
177;94
178;119
179;135
180;131
181;111
182;127
183;125
184;93
185;57
186;51
187;90
188;133
189;135
190;146
191;143
192;158
193;104
194;67
195;79
196;94
197;130
198;24
199;18
200;121
201;181
202;167
203;245
204;197
205;177
206;197
207;130
208;116
209;126
210;103
211;160
212;202
213;147
214;144
215;145
216;110
217;133
218;175
219;133
220;156
221;112
222;113
223;118
224;142
225;85
226;71
227;187
228;123
229;122
230;133
231;138
232;118
233;159
234;126
235;134
236;65
237;90
238;131
239;111
240;157
241;122
242;92
243;110
244;177
245;139
246;146
247;121
248;121
249;157
250;151
251;143
252;134
253;127
254;141
255;159
256;136
257;160
258;144
259;131
260;115
261;135
262;135
263;134
264;134
265;152
266;119
267;95
268;143
269;109
270;145
271;111
272;89
273;151
274;148
275;113
276;137
277;139
278;130
279;155
280;140
281;122
282;136
283;168
284;127
285;157
286;145
287;127
288;159
289;161
290;121
291;150
292;121
293;151
294;117
295;164
296;131
297;177
298;147
299;132
300;151
301;151
302;118
303;138
304;104
305;126
306;149
307;164
308;106
309;152
310;135
311;126
312;154
313;192
314;129
315;151
316;151
317;140
318;138
319;163
320;128
321;90
322;111
323;115
324;127
325;161
326;161
327;125
328;130
329;112
330;135
331;133
332;137
333;129
334;148
335;134
336;143
337;115
338;171
339;165
340;139
341;117
342;118
343;128
344;123
345;130
346;144
347;131
348;131
349;131
350;131
351;129
352;142
353;194
354;194
355;124
356;136
357;189
358;149
359;106
360;121
361;162
362;162
363;105
364;122
365;176
366;129
367;165
368;124
369;145
370;173
371;101
372;91
373;111
374;79
375;120
376;167
377;124
378;182
379;98
380;157
381;137
382;148
383;131
384;144
385;158
386;149
387;145
388;173
389;114
390;109
391;109
392;121
393;162
394;86
395;115
396;120
397;130
398;130
399;147
400;122
401;103
402;142
403;135
404;152
405;137
406;130
407;144
408;163
409;128
410;122
411;118
412;167
413;152
414;137
415;160
416;134
417;120
418;100
419;140
420;118
421;135
422;135
423;146
424;146
425;119
426;100
427;135
428;130
429;137
430;142
431;116
432;144
433;103
434;128
435;143
436;157
437;138
438;153
439;120
440;114
441;174
442;138
443;108
444;111
445;124
446;123
447;140
448;126
449;122
450;114
451;114
452;140
453;114
454;125
455;125
456;135
457;135
458;124
459;127
460;128
461;114
462;122
463;119
464;138
465;143
466;132
467;104
468;98
469;148
470;100
471;80
472;69
473;56
474;22
475;67
476;200
477;182
478;156
479;159
480;124
481;116
482;97
483;97
484;90
485;98
486;76
487;120
488;117
489;141
490;116
491;149
492;170
493;137
494;194
495;115
496;133
497;134
498;164
499;158
500;215
501;235
502;245
503;270
504;276
505;263
506;263
507;278
508;278
509;280
510;265
511;241
512;164
513;164
514;146
515;193
516;193
517;183
518;145
519;179
520;165
521;133
522;115
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;0
531;13
532;46
533;66
534;60
535;120
536;117
537;224
538;148
539;185
540;177
541;144
542;156
543;112
544;160
545;115
546;118
547;44
548;0
549;0
550;0
551;0
552;0
553;122
554;220
555;239
556;190
557;223
558;203
559;112
560;223
561;139
562;100
563;95
564;135
565;140
566;159
567;128
568;134
569;164
570;139
571;186
572;136
573;142
574;113
575;113
576;136
577;142
578;114
579;116
580;133
581;152
582;126
583;108
584;108
585;93
586;103
587;103
588;111
589;121
590;156
591;101
592;145
593;156
594;114
595;123
596;166
597;117
598;149
599;118
600;133
601;110
602;131
603;104
604;128
605;114
606;106
607;145
608;147
609;112
610;104
611;128
612;120
613;153
614;150
615;115
616;119
617;118
618;108
619;109
620;91
621;106
622;102
623;85
624;137
625;146
626;110
627;122
628;149
629;108
630;146
631;110
632;99
633;129
634;113
635;101
636;108
637;130
638;110
639;119
640;131
641;120
642;139
643;129
644;125
645;125
646;126
647;158
648;147
649;155
650;166
651;130
652;114
653;116
654;142
655;120
656;137
657;144
658;124
659;113
660;106
661;124
662;157
663;142
664;142
665;118
666;126
667;145
668;134
669;111
670;138
671;148
672;120
673;143
674;109
675;130
676;136
677;96
678;120
679;158
680;138
681;129
682;152
683;123
684;129
685;126
686;113
687;148
688;112
689;103
690;121
691;106
692;148
693;131
694;136
695;135
696;138
697;144
698;152
699;125
700;123
701;143
702;139
703;150
704;165
705;131
706;143
707;162
708;125
709;131
710;134
711;123
712;127
713;144
714;140
715;113
716;112
717;156
718;136
719;128
720;138
721;132
722;126
723;130
724;149
725;142
726;121
727;129
728;135
729;104
730;157
731;146
732;135
733;163
734;121
735;121
736;125
737;124
738;147
739;106
740;158
741;132
742;123
743;143
744;136
745;163
746;127
747;153
748;152
749;127
750;127
751;121
752;115
753;152
754;137
755;126
756;128
757;133
758;126
759;137
760;147
761;165
762;156
763;158
764;153
765;168
766;133
767;130
768;141
769;131
770;158
771;143
772;155
773;133
774;150
775;137
776;132
777;162
778;130
779;112
780;149
781;149
782;108
783;124
784;157
785;124
786;131
787;125
788;162
789;144
790;118
791;69
792;79
793;79
794;151
795;89
796;120
797;131
798;158
799;149
800;140
801;141
802;124
803;167
804;142
805;135
806;135
807;134
808;127
809;151
810;151
811;121
812;113
813;124
814;79
815;98
816;154
817;170
818;144
819;167
820;141
821;129
822;176
823;138
824;128
825;154
826;168
827;123
828;142
829;138
830;123
831;124
832;128
833;127
834;144
835;126
836;132
837;112
838;119
839;120
840;144
841;163
842;160
843;144
844;155
845;156
846;156
847;159
848;136
849;186
850;154
851;148
852;153
853;143
854;150
855;171
856;153
857;142
858;170
859;189
860;214
861;214
862;203
863;213
864;204
865;187
866;230
867;246
868;249
869;187
870;212
871;230
872;230
873;188
874;180
875;180
876;160
877;264
878;111
879;154
880;91
881;149
882;158
883;158
884;119
885;187
886;100
887;113
888;175
889;153
890;126
891;164
892;118
893;102
894;107
895;145
896;105
897;128
898;166
899;132
900;152
901;148
902;132
903;163
904;174
905;133
906;138
907;177
908;160
909;154
910;188
911;177
912;168
913;191
914;165
915;165
916;205
917;217
918;207
919;195
920;192
921;170
922;228
923;181
924;190
925;218
926;195
927;203
928;185
929;192
930;215
931;164
932;188
933;212
934;211
935;197
936;189
937;196
938;169
939;177
940;200
941;186
942;188
943;201
944;193
945;179
946;174
947;204
948;197
949;178
950;233
951;174
952;195
953;154
954;154
955;219
956;132
957;136
958;177
959;130
960;201
961;125
962;127
963;164
964;172
965;178
966;178
967;103
968;163
969;114
970;103
971;160
972;187
973;150
974;136
975;135
976;176
977;109
978;99
979;153
980;90
981;69
982;88
983;166
984;99
985;109
986;161
987;99
988;188
989;149
990;136
991;162
992;161
993;157
994;166
995;149
996;224
997;153
998;183
999;128
1000;148
1001;150
1002;179
1003;179
1004;158
1005;150
1006;123
1007;122
1008;152
1009;123
1010;97
1011;186
1012;102
1013;127
1014;105
1015;176
1016;95
1017;80
1018;140
1019;81
1020;70
1021;104
1022;91
1023;88
1024;61
1025;7
1026;3
1027;47
1028;5
1029;21
1030;7
1031;2
1032;6
1033;7
1034;4
1035;34
1036;104
1037;50
1038;24
1039;177
1040;171
1041;221
1042;184
1043;185
1044;126
1045;152
1046;106
1047;194
1048;139
1049;142
1050;152
1051;184
1052;126
1053;168
1054;168
1055;134
1056;151
1057;147
1058;147
1059;168
1060;137
1061;137
1062;163
1063;136
1064;177
1065;120
1066;124
1067;220
1068;148
1069;166
1070;145
1071;166
1072;126
1073;129
1074;111
1075;161
1076;153
1077;127
1078;130
1079;186
1080;128
